City,Country,Latitude,Longitude,complete_years,uncertainty_max_months,variability_max_months,exact_match,circular_distance,uncertainty_tie,variability_tie,split
Fuxin,China,42.59N,122.18E,28,2,1,False,1,False,False,development
Fürth,Germany,49.03N,9.80E,97,2,1,False,1,False,False,development
Gadag,India,15.27N,75.83E,43,1,1,True,0,False,False,development
Gainesville,United States,29.74N,83.08W,81,1,12,False,1,False,False,development
Gandhidham,India,23.31N,70.78E,41,1,1,True,0,False,False,development
Gandhinagar,India,23.31N,72.52E,43,1,1,True,0,False,False,development
Gangawati,India,15.27N,75.83E,43,1,1,True,0,False,False,development
Garland,United States,32.95N,96.70W,30,12,2,False,2,False,False,development
Gaziantep,Turkey,37.78N,36.61E,63,2,12,False,2,False,False,development
Gazipur,Bangladesh,23.31N,90.00E,43,1,1,True,0,False,False,development
Gebze,Turkey,40.99N,29.82E,97,1,12,False,1,False,False,development
Gelsenkirchen,Germany,52.24N,7.88E,97,1,1,True,0,False,False,development
Geneva,Switzerland,45.81N,5.77E,97,1,1,True,0,False,False,development
Genoa,Italy,44.20N,8.94E,97,1,1,True,0,False,False,development
Gera,Germany,50.63N,11.41E,97,1,1,True,0,False,False,development
Getafe,Spain,40.99N,4.26W,97,1,1,True,0,False,False,development
Giugliano In Campania,Italy,40.99N,14.91E,97,1,1,True,0,False,False,development
Gizeh,Egypt,29.74N,31.38E,38,12,3,False,3,False,False,development
Glasgow,United Kingdom,55.45N,2.83W,97,1,1,True,0,False,False,development
Glazov,Russia,58.66N,52.31E,95,12,12,True,0,False,False,development
Godhra,India,23.31N,74.27E,43,1,1,True,0,False,False,development
Gondal,India,21.70N,70.10E,41,1,1,True,0,False,False,development
Gongzhuling,China,44.20N,125.22E,28,12,1,False,1,False,False,development
Gorakhpur,India,26.52N,84.18E,43,1,1,True,0,False,False,development
Grand Prairie,United States,32.95N,96.70W,30,12,2,False,2,False,False,development
Graz,Austria,47.42N,15.39E,97,1,1,True,0,False,False,development
Green Bay,United States,44.20N,87.20W,83,1,2,False,1,False,False,development
Grenoble,France,45.81N,5.77E,97,1,1,True,0,False,False,development
Guadalupe,Mexico,26.52N,100.30W,22,1,11,False,2,False,False,development
Gudalur,India,12.05N,80.55E,43,1,7,False,6,False,False,development
Guelph,Canada,44.20N,80.50W,83,1,2,False,1,False,False,development
Guna,India,24.92N,78.03E,43,"1,2",1,True,0,True,False,development
Guntakal,India,15.27N,77.50E,43,1,1,True,0,False,False,development
Guntur,India,16.87N,80.37E,43,2,1,False,1,False,False,development
Göteborg,Sweden,58.66N,12.31E,97,1,2,False,1,False,False,development
Hagen,Germany,52.24N,7.88E,97,1,1,True,0,False,False,development
Haifa,Israel,32.95N,35.43E,41,12,12,True,0,False,False,development
Hailar,China,49.03N,120.00E,29,1,1,True,0,False,False,development
Hajipur,India,24.92N,85.12E,43,1,1,True,0,False,False,development
Haldwani,India,29.74N,79.38E,42,3,1,False,2,False,False,development
Halifax,Canada,44.20N,62.61W,81,1,12,False,1,False,False,development
Halisahar,India,23.31N,88.25E,43,1,1,True,0,False,False,development
Hamburg,Germany,53.84N,9.55E,97,1,1,True,0,False,False,development
Hami,China,42.59N,93.82E,28,1,1,True,0,False,False,development
